Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT,Order,Block,Rewards,Effort,Double,ParticipantId
11,7,4,1,19,5,4.29,1,3,Joint,HighEffort,1,happy_lark
11,4,4,2,19,5,7.24,1,3,Joint,HighEffort,1,scary_pony
11,9,5,1,19,6,5.11,1,3,Joint,HighEffort,0,wavy_coypu
11,6,5,2,19,5,7.81,1,3,Joint,HighEffort,0,oozy_skink
11,11,6,1,19,3,2.55,1,3,Joint,HighEffort,0,cute_yapok
11,8,6,2,19,6,2.46,1,3,Joint,HighEffort,0,loopy_cub
11,1,1,1,20,4,3.09,1,3,Joint,HighEffort,1,fishy_clam
11,10,1,2,20,4,7.81,1,3,Joint,HighEffort,1,well_orca
11,3,2,1,20,6,3.87,1,3,Joint,HighEffort,1,coy_kite
11,12,2,2,20,6,2.35,1,3,Joint,HighEffort,1,regal_asp
11,5,3,1,20,6,5.11,1,3,Joint,HighEffort,1,taut_geese
11,2,3,2,20,6,2.08,1,3,Joint,HighEffort,1,nerdy_joey
11,7,4,1,20,4,2.77,1,3,Joint,HighEffort,1,happy_lark
11,4,4,2,20,4,4.8,1,3,Joint,HighEffort,1,scary_pony
11,9,5,1,20,5,3.62,1,3,Joint,HighEffort,0,wavy_coypu
11,6,5,2,20,3,5.07,1,3,Joint,HighEffort,0,oozy_skink
11,11,6,1,20,6,1.7,1,3,Joint,HighEffort,1,cute_yapok
11,8,6,2,20,6,4.22,1,3,Joint,HighEffort,1,loopy_cub
11,1,1,1,21,6,2.51,1,3,Joint,HighEffort,1,fishy_clam
11,10,1,2,21,6,8.34,1,3,Joint,HighEffort,1,well_orca
11,3,2,1,21,5,3.73,1,3,Joint,HighEffort,0,coy_kite
11,12,2,2,21,3,4.25,1,3,Joint,HighEffort,0,regal_asp
11,5,3,1,21,6,5.08,1,3,Joint,HighEffort,1,taut_geese
11,2,3,2,21,6,1.36,1,3,Joint,HighEffort,1,nerdy_joey
11,7,4,1,21,6,6.97,1,3,Joint,HighEffort,1,happy_lark
11,4,4,2,21,6,13.82,1,3,Joint,HighEffort,1,scary_pony
11,9,5,1,21,3,4.08,1,3,Joint,HighEffort,1,wavy_coypu
11,6,5,2,21,3,6.7,1,3,Joint,HighEffort,1,oozy_skink
11,11,6,1,21,6,3.25,1,3,Joint,HighEffort,1,cute_yapok
11,8,6,2,21,6,2.45,1,3,Joint,HighEffort,1,loopy_cub
11,1,1,1,22,4,2.83,1,3,Joint,HighEffort,0,fishy_clam
11,10,1,2,22,3,12.68,1,3,Joint,HighEffort,0,well_orca
11,3,2,1,22,5,4.28,1,3,Joint,HighEffort,1,coy_kite
11,12,2,2,22,5,5.73,1,3,Joint,HighEffort,1,regal_asp
11,5,3,1,22,6,12.4,1,3,Joint,HighEffort,1,taut_geese
11,2,3,2,22,6,2.3,1,3,Joint,HighEffort,1,nerdy_joey
11,7,4,1,22,5,4.06,1,3,Joint,HighEffort,1,happy_lark
11,4,4,2,22,5,6.58,1,3,Joint,HighEffort,1,scary_pony
11,9,5,1,22,6,18.14,1,3,Joint,HighEffort,0,wavy_coypu
11,6,5,2,22,2,4.42,1,3,Joint,HighEffort,0,oozy_skink
11,11,6,1,22,6,2.51,1,3,Joint,HighEffort,0,cute_yapok
11,8,6,2,22,5,1.81,1,3,Joint,HighEffort,0,loopy_cub
11,1,1,1,23,6,4.01,1,3,Joint,HighEffort,0,fishy_clam
11,10,1,2,23,4,3.03,1,3,Joint,HighEffort,0,well_orca
11,3,2,1,23,5,2.03,1,3,Joint,HighEffort,0,coy_kite
11,12,2,2,23,2,7.82,1,3,Joint,HighEffort,0,regal_asp
11,5,3,1,23,6,12.51,1,3,Joint,HighEffort,1,taut_geese
11,2,3,2,23,6,1.97,1,3,Joint,HighEffort,1,nerdy_joey
11,7,4,1,23,4,1.82,1,3,Joint,HighEffort,1,happy_lark
11,4,4,2,23,4,4.07,1,3,Joint,HighEffort,1,scary_pony
11,9,5,1,23,6,2.27,1,3,Joint,HighEffort,0,wavy_coypu
11,6,5,2,23,2,10.51,1,3,Joint,HighEffort,0,oozy_skink
11,11,6,1,23,6,3.97,1,3,Joint,HighEffort,1,cute_yapok
11,8,6,2,23,6,8.49,1,3,Joint,HighEffort,1,loopy_cub
11,1,1,1,24,4,4.03,1,3,Joint,HighEffort,1,fishy_clam
