date,group,subject,team,label,response,comment
2018_6_17_20_48_7,3,1,1,roll111,5,actual_number: 8; reaction_time: 1.48
2018_6_17_20_48_11,3,1,1,roll112,5,actual_number: 8; reaction_time: 2.21
2018_6_17_20_48_17,3,1,1,roll113,6,actual_number: 8; reaction_time: 1.55
2018_6_17_20_48_21,3,1,1,roll114,6,actual_number: 8; reaction_time: 1.98
2018_6_17_20_48_25,3,1,1,roll115,6,actual_number: 8; reaction_time: 1.48
2018_6_17_20_48_31,3,1,1,roll116,1,actual_number: 8; reaction_time: 1.91
2018_6_17_20_48_35,3,1,1,roll117,1,actual_number: 8; reaction_time: 1.93
2018_6_17_20_48_39,3,1,1,roll118,1,actual_number: 8; reaction_time: 1.4
2018_6_17_20_50_8,3,2,1,roll101,1,actual_number: 8; reaction_time: 3.43
2018_6_17_20_50_12,3,2,1,roll102,1,actual_number: 8; reaction_time: 2.01
2018_6_17_20_50_16,3,2,1,roll103,1,actual_number: 8; reaction_time: 1.87
2018_6_17_20_50_23,3,2,1,roll104,2,actual_number: 8; reaction_time: 2.53
2018_6_17_20_50_27,3,2,1,roll105,2,actual_number: 8; reaction_time: 1.87
2018_6_17_20_50_32,3,2,1,roll106,2,actual_number: 8; reaction_time: 2.59
2018_6_17_20_50_38,3,2,1,roll107,3,actual_number: 8; reaction_time: 1.73
2018_6_17_20_50_43,3,2,1,roll108,3,actual_number: 8; reaction_time: 2.53
2018_6_17_20_50_47,3,2,1,roll109,3,actual_number: 8; reaction_time: 1.99
2018_6_17_20_50_54,3,2,1,roll110,4,actual_number: 8; reaction_time: 2.34
2018_6_17_20_50_58,3,2,1,roll111,4,actual_number: 8; reaction_time: 1.89
2018_6_17_20_51_2,3,2,1,roll112,4,actual_number: 8; reaction_time: 1.94
2018_6_17_20_51_9,3,2,1,roll113,5,actual_number: 8; reaction_time: 2.26
2018_6_17_20_51_13,3,2,1,roll114,5,actual_number: 8; reaction_time: 1.66
2018_6_17_20_51_17,3,2,1,roll115,5,actual_number: 8; reaction_time: 1.71
