Date,Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT
2019_3_4_11_47_18,11,11,6,1,29,6,4.2
2019_3_4_11_47_20,11,3,2,1,29,5,1.92
2019_3_4_11_47_21,11,5,3,1,29,2,5.73
2019_3_4_11_47_22,11,1,1,1,29,1,3.27
2019_3_4_11_47_24,11,4,5,2,28,4,6.33
2019_3_4_11_47_27,11,6,6,2,29,4,3.35
2019_3_4_11_47_28,11,2,4,2,28,5,3.27
2019_3_4_11_47_30,11,8,1,2,29,4,1.65
2019_3_4_11_47_35,11,10,2,2,29,5,7.35
2019_3_4_11_47_36,11,12,3,2,29,2,1.68
2019_3_4_11_47_39,11,9,5,1,29,2,2.61
2019_3_4_11_47_46,11,7,4,1,29,6,6.4
2019_3_4_11_47_47,11,11,6,1,30,6,4.17
2019_3_4_11_47_48,11,4,5,2,29,2,3.35
2019_3_4_11_47_50,11,1,1,1,30,4,5.03
2019_3_4_11_47_53,11,3,2,1,30,1,3.97
2019_3_4_11_47_54,11,2,4,2,29,6,1.41
2019_3_4_11_47_55,11,5,3,1,30,1,2.12
2019_3_4_11_48_0,11,6,6,2,30,3,3.77
2019_3_4_11_48_1,11,8,1,2,30,4,1.72
2019_3_4_11_48_2,11,10,2,2,30,4,2.32
2019_3_4_11_48_6,11,12,3,2,30,1,1.58
2019_3_4_11_48_7,11,9,5,1,30,4,3.2
2019_3_4_11_48_14,11,7,4,1,30,5,6.26
2019_3_4_11_48_19,11,4,5,2,30,4,2.73
2019_3_4_11_48_24,11,2,4,2,30,5,2
2019_3_4_11_48_44,11,1,1,1,31,2,3.11
2019_3_4_11_48_48,11,3,2,1,31,3,2.75
2019_3_4_11_48_49,11,11,6,1,31,1,3.7
2019_3_4_11_48_54,11,8,1,2,31,1,2.99
2019_3_4_11_48_59,11,10,2,2,31,3,2.74
2019_3_4_11_48_59,11,9,5,1,31,5,1.69
2019_3_4_11_49_1,11,5,3,1,31,1,3.55
2019_3_4_11_49_6,11,6,6,2,31,3,7.06
2019_3_4_11_49_7,11,7,4,1,31,3,4.99
2019_3_4_11_49_10,11,12,3,2,31,2,1.58
2019_3_4_11_49_11,11,1,1,1,32,6,4.09
2019_3_4_11_49_15,11,2,4,2,31,5,1.64
2019_3_4_11_49_17,11,4,5,2,31,5,7.26
2019_3_4_11_49_18,11,3,2,1,32,3,4.89
2019_3_4_11_49_19,11,11,6,1,32,3,1.63
2019_3_4_11_49_23,11,8,1,2,32,6,4.38
2019_3_4_11_49_30,11,7,4,1,32,6,2.03
2019_3_4_11_49_31,11,5,3,1,32,1,5.29
2019_3_4_11_49_32,11,6,6,2,32,1,6.38
2019_3_4_11_49_32,11,10,2,2,32,5,3.01
2019_3_4_11_49_32,11,9,5,1,32,5,1.6
2019_3_4_11_49_37,11,2,4,2,32,6,1.36
2019_3_4_11_49_40,11,1,1,1,33,4,3.18
2019_3_4_11_49_44,11,12,3,2,32,1,1.7
2019_3_4_11_49_46,11,4,5,2,32,5,4.2
